impound_no,Animal_ID,Data_Source,Record_Type,Link,Current_Location,Animal_Name,animal_type,Age,Animal_Gender,Animal_Breed,Animal_Color,Date,Date_Type,Obfuscated_Address,City,State,Zip,jurisdiction,obfuscated_latitude,obfuscated_longitude,Image,image_alt_text,Memo,Temperament
K25-181227,A732556,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2969989,LOST,,Dog,Over 1 year<p/>,Female,Siberian Husky,Brown,"Jul 24, 2025",Date Lost,21200 block of  84TH AVE S,Kent,,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2969989,Image Copyright HLP Inc. 2025,"Description: Pitsky pit bull husky mix. She is brown with blue eyes. She has a short coat like a pit bull. She has a bright orange collar on here neck. Her name is pretty girl. She got out my car at arco without me noticing. Please call me if you see her. She is not aggressive pretty friendly.<p/>Age: Over 1 year<p/>Location Lost: 21214 84th Ave S,, Kent WA  98032<p/>Lost Date: 2025-07-24<p/>",
K25-180871,A731986,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2966121,In Public Home,,Cat,Under 1 year<p/>,Male,American Shorthair,Unknown,"Jul 14, 2025",Date Found,132nd  Ave SE & SE 248th St,Kent,,98042,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2966121,Image Copyright HLP Inc. 2025,"Description: Grey kitten, yellow eyes<p/>Age: Under 1 year<p/>Found Near: 132nd street and SE 248th street, Kent WA  98030<p/>Found Date: 2025-07-14<p/>",
K25-181423,A732974,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A732974,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Ozzy,Cat,1 YEAR,Male,Domestic Mediumhair,Gray Tabby / White,"Jul 30, 2025",Received on,18900 block of  240TH AVE SE,MAPLE VALLEY,WA,98038,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A732974,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 18900 block of  240TH AVE SE<p/> Description: Gray Tabby / White Male Domestic Mediumhair Cat<p/> Age: 1 YEAR<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
K25-181289,A732656,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2970631,LOST,Prince,Cat,Over 1 year<p/>,Male,Domestic Shorthair,Unknown,"Jul 24, 2025",Date Lost,RAN  OUT OF HOUSE,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2970631,Image Copyright HLP Inc. 2025,"Description: He is overweight a grey tabby colour, has green eyes with a m shaped strip on his head, nails are not clipped, responds a high whistle and three tongue clicks and then prince. Neutered <p/>Age: Over 1 year<p/>Location Lost: Ran out of house , Langley BC  V3A 4T8<p/>Lost Date: 2025-07-24<p/>",
K25-180316,A731141,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2958954,LOST,Pumpkin,Cat,Over 1 year<p/>,Male,Tiffany,Unknown,"Jun 24, 2025",Date Lost,48100 block of  SE 127TH ST,,,98045,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2958954,Image Copyright HLP Inc. 2025,"Description: Our cat is a big orange Tabby with a white chest, 12 years old. He has in the past not come home, he's been gone 5 days now. Male, 12 years old<p/>Age: Over 1 year<p/>Location Lost: 48102 SE 127TH ST, North Bend WA  98045<p/>Lost Date: 2025-06-24<p/>",
K25-180741,A731814,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2964688,LOST,,Dog,Unknown<p/>,Unknown,Miniature Poodle,Brown,"Jul 10, 2025",Date Lost,KB  HOMES JENKINS LANDING 265TH STREET,,,,JURISDICTION,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2964688,Image Copyright HLP Inc. 2025,"Description: Small brown dog with short fluffy or curly fur. Maybe a short tail.<p/>Age: Unknown<p/>Location Lost: KB homes Jenkins landing 265th street, Kent WA  98042<p/>Lost Date: 2025-07-10<p/>",
K25-181458,A733026,Regional Animal Services of King County,FOUND,https://kingcounty.gov/en/dept/executive-services/animals-pets-pests/regional-animal-services/overview-about,In RASKC Foster Home,,Cat,6 WEEKS,Female,Domestic Shorthair,Gray Tabby / White,"Jul 31, 2025",Received on,25400 block of  LAKE FENWICK RD S,KENT,WA,98032,KENT,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733026,Image Copyright HLP Inc. 2025,Received on: 2025-07-31<p/> Found Near: 25400 block of  LAKE FENWICK RD S<p/> Description: Gray Tabby / White Female Domestic Shorthair Cat<p/> Age: 6 WEEKS<p/> Current Location: In RASKC Foster Home <p/>,
K25-180513,A731489,Regional Animal Services of King County,FOUND,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2961770,In Public Home,Cinna,Dog,Over 1 year<p/>,Male,Pit Bull,Unknown,"Jul 04, 2025",Date Found,1200 block of  S PUGET DR,Renton,,98055,RENTON,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2961770,Image Copyright HLP Inc. 2025,Description: Name Is cinna. Owners were contacted through the microchip company (24 hour pet watch). Just under 12 years old. <p/>microchip # 0A13535253<p/>Unable to contact owners.<p/>My friend is keeping him for a day before bringing him to raskc.<p/>Anyone missing this dog? <p/>Found at heritage Hill apartments in Renton. 1250 S Puget Dr.<p/>Looks like it has a cut under its chin (you can see some drops of blood in the photo on the front paw.<p/>Friendly. <p/>No collar.<p/>Age: Over 1 year<p/>Found Near: 1200 block of  S PUGET DR<p/>Found Date: 2025-07-04<p/>,
K25-181087,A732313,Regional Animal Services of King County,LOST,https://petharbor.com/PublicDetail.asp?searchtype=PUBFOUND&view=sysadm.v_animal&shelterlist='KING'&where=type&ID=2968306,LOST,Sprite,Cat,Over 1 year<p/>,Female,Domestic Shorthair,Unknown,"Jul 19, 2025",Date Lost,S  Austin St & Beacon Ave S,Seattle,,98108,SEATTLE,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=PUBLIC&ID=2968306,Image Copyright HLP Inc. 2025,"Description: My gray and white tuxedo cat named Sprite slipped out through my screen door the afternoon of Friday, 7/19 and is now missing. She was last seen near Austin St & Beacon Ave S in South Beacon Hill, Seattle. I am heartbroken and hope she comes home. If you see her, please contact me ASAP.<p/><p/>Details about Sprite:<p/><p/>Indoor-only cat, never been outside before<p/>Microchipped<p/>Gray and white tuxedo coloring<p/>One white paw and one gray paw (left side)<p/>No Collar<p/>Very friendly but likely scared and hiding<p/>Age: Over 1 year<p/>Location Lost: Austin St and Beacon Ave S, Seattle WA  98108<p/>Lost Date: 2025-07-19<p/>",
K25-181442,A733003,Regional Animal Services of King County,FOUND,https://petharbor.com/pet.asp?uaid=KING.A733003,"King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032",Doro,Cat,9 WEEKS,Spayed Female,Domestic Longhair,Brn Tabby,"Jul 30, 2025",Received on,6800 block of  S 116TH PL,SEATTLE,WA,98178,KING COUNTY,,,https://petharbor.com/get_image.asp?RES=Detail&LOCATION=KING&ID=A733003,Image Copyright HLP Inc. 2025,"Received on: 2025-07-30<p/> Found Near: 6800 block of  S 116TH PL<p/> Description: Brn Tabby Spayed Female Domestic Longhair Cat<p/> Age: 9 WEEKS<p/> Current Location: King County Pet Adoption Center 21615 64TH AVE S KENT, WA 98032<p/>",
