Animal ID,Intake Type,In Date,Pet name,Animal Type,Pet Age,Pet Size,Color,Breed,Sex,URL Link ,Crossing
A533594,OWNER SUR,07/20/2025,MOSHI,OTHER,2 YEARS,SMALL,TAN,BEARDED DRAGON,M,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533594&location=MONT,
A531984,OWNER SUR,06/09/2025,BRUNO,DOG,3 YEARS,X-LRG,BROWN / BLACK,CANE CORSO,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A531984&location=MONT,
A501607,OWNER SUR,06/10/2025,CLEO,DOG,5 YEARS,MED,BRINDLE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A501607&location=MONT,
A533518,OWNER SUR,07/18/2025,*CAT DAMON,CAT,2 YEARS,MED,BRN TABBY,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533518&location=MONT,
A427950,OWNER SUR,07/17/2025,BOSWELL,DOG,8 YEARS,MED,BLACK,CHINESE SHARPEI,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A427950&location=MONT,
A473367,RETURN,01/28/2025,TIGER LILY,DOG,5 YEARS,MED,BLACK / WHITE,AM PIT BULL TER / MIX,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A473367&location=MONT,
A533764,EUTH REQ,07/24/2025,PICACHOO,CAT,15 YEARS,LARGE,GRAY / WHITE,DOMESTIC MH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533764&location=MONT,
A498580,OWNER SUR,07/25/2025,*SYCAMORE,CAT,3 YEARS,KITTE,GRAY TAB,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A498580&location=MONT,
A525154,CONFISCATE,06/30/2025,SHELBY,DOG,9 YEARS,MED,GRAY / WHITE,AM PIT BULL TER,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A525154&location=MONT,
A532777,EUTH REQ,06/29/2025,*MIMI,CAT,2 YEARS,MED,GRAY,DOMESTIC SH,S,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A532777&location=MONT,
A531907,RETURN,07/25/2025,ANCHOVY,DOG,2 YEARS,LARGE,RED,SIBERIAN HUSKY,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A531907&location=MONT,
A528053,RETURN,07/12/2025,*STARDUST,CAT,4 YEARS,MED,GRAY TAB,DOMESTIC SH,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A528053&location=MONT,
A533749,OWNER SUR,07/24/2025,JEFE,DOG,5 YEARS,LARGE,RED / WHITE,AM PIT BULL TER / MIX,N,http://www.petharbor.com/get_image.asp?res=DETAIL&id=A533749&location=MONT,
